21-01-2019;18-19;357.86
21-01-2019;19-20;319.45
21-01-2019;20-21;278.81
21-01-2019;21-22;242.12
21-01-2019;22-23;241.9
21-01-2019;23-00;224.78
22-01-2019;00-01;201.41
22-01-2019;01-02;212.72
22-01-2019;02-03;211.23
22-01-2019;03-04;211.23
22-01-2019;04-05;211.23
22-01-2019;05-06;193.29
22-01-2019;06-07;246.21
22-01-2019;07-08;319.68
22-01-2019;08-09;335.38
22-01-2019;09-10;341.63
22-01-2019;10-11;334.79
22-01-2019;11-12;348.63
22-01-2019;12-13;338.66
22-01-2019;13-14;341.41
22-01-2019;14-15;333.82
22-01-2019;15-16;327.05
22-01-2019;16-17;324.89
22-01-2019;17-18;368.43
22-01-2019;18-19;379.59
22-01-2019;19-20;357.64
22-01-2019;20-21;318.71
22-01-2019;21-22;290.2
22-01-2019;22-23;269.44
22-01-2019;23-00;249.34
23-01-2019;00-01;248.48
23-01-2019;01-02;236.27
23-01-2019;02-03;229.13
23-01-2019;03-04;226.15
23-01-2019;04-05;230.54
23-01-2019;05-06;241.78
23-01-2019;06-07;293.96
23-01-2019;07-08;360.89
23-01-2019;08-09;380.02
23-01-2019;09-10;332.3
23-01-2019;10-11;272.75
23-01-2019;11-12;250.49
23-01-2019;12-13;245.21
23-01-2019;13-14;244.54
23-01-2019;14-15;243.12
23-01-2019;15-16;242.6
23-01-2019;16-17;250.64
23-01-2019;17-18;275.58
23-01-2019;18-19;245.58
23-01-2019;19-20;243.34
23-01-2019;20-21;230.69
23-01-2019;21-22;220.49
23-01-2019;22-23;208.66
23-01-2019;23-00;101.54
24-01-2019;00-01;100.18
24-01-2019;01-02;83.44
24-01-2019;02-03;76.96
24-01-2019;03-04;68.92
24-01-2019;04-05;83.59
24-01-2019;05-06;124.6
24-01-2019;06-07;214.58
24-01-2019;07-08;304.57
24-01-2019;08-09;241.08
24-01-2019;09-10;237.29
24-01-2019;10-11;227.54
24-01-2019;11-12;222.55
24-01-2019;12-13;221.95
24-01-2019;13-14;216.3
24-01-2019;14-15;214.58
24-01-2019;15-16;213.84
24-01-2019;16-17;215.85
24-01-2019;17-18;221.06
24-01-2019;18-19;217.86
24-01-2019;19-20;211.16
24-01-2019;20-21;186.52
24-01-2019;21-22;135.91
24-01-2019;22-23;122.74
24-01-2019;23-00;88.05
25-01-2019;00-01;35.14
25-01-2019;01-02;40.57
25-01-2019;02-03;28.81
25-01-2019;03-04;34.91
25-01-2019;04-05;35.29
25-01-2019;05-06;104.15
25-01-2019;06-07;209.34
25-01-2019;07-08;293.91
25-01-2019;08-09;250.73
25-01-2019;09-10;230.48
25-01-2019;10-11;229.74
25-01-2019;11-12;226.98
25-01-2019;12-13;224.97
25-01-2019;13-14;225.49
25-01-2019;14-15;226.54
25-01-2019;15-16;229.66
25-01-2019;16-17;156.41
25-01-2019;17-18;329.12
25-01-2019;18-19;247.08
25-01-2019;19-20;239.27
25-01-2019;20-21;234.35
25-01-2019;21-22;228.7
25-01-2019;22-23;221.18
25-01-2019;23-00;215.74
26-01-2019;00-01;217.98
26-01-2019;01-02;215.82
26-01-2019;02-03;215.45
26-01-2019;03-04;216.64
26-01-2019;04-05;219.99
26-01-2019;05-06;224.09
26-01-2019;06-07;289.97
26-01-2019;07-08;249.92
26-01-2019;08-09;275.53
26-01-2019;09-10;270.92
26-01-2019;10-11;264.51
26-01-2019;11-12;253.79
26-01-2019;12-13;248.28
26-01-2019;13-14;245.16
26-01-2019;14-15;244.34
26-01-2019;15-16;243.07
26-01-2019;16-17;249.7
26-01-2019;17-18;361.07
26-01-2019;18-19;350.65
26-01-2019;19-20;320.35
26-01-2019;20-21;246.94
26-01-2019;21-22;234.88
26-01-2019;22-23;228.18
26-01-2019;23-00;224.76
27-01-2019;00-01;229.28
27-01-2019;01-02;224.96
27-01-2019;02-03;223.39
27-01-2019;03-04;223.25
27-01-2019;04-05;225.03
27-01-2019;05-06;229.13
27-01-2019;06-07;228.98
27-01-2019;07-08;249.45
27-01-2019;08-09;282.87
27-01-2019;09-10;297.83
27-01-2019;10-11;283.1
27-01-2019;11-12;252.72
27-01-2019;12-13;243.94
27-01-2019;13-14;238.13
27-01-2019;14-15;234.19
27-01-2019;15-16;231.36
27-01-2019;16-17;232.92
27-01-2019;17-18;266.79
27-01-2019;18-19;242.9
27-01-2019;19-20;237.91
27-01-2019;20-21;207.61
27-01-2019;21-22;88.66
27-01-2019;22-23;81.74
27-01-2019;23-00;0.74
28-01-2019;00-01;-0.3
28-01-2019;01-02;-89.47
28-01-2019;02-03;-111.65
28-01-2019;03-04;-90.73
28-01-2019;04-05;-68.03
28-01-2019;05-06;0.3
28-01-2019;06-07;-1.86
28-01-2019;07-08;15.56
28-01-2019;08-09;76.96
28-01-2019;09-10;86.71
28-01-2019;10-11;104.5
28-01-2019;11-12;87.01
28-01-2019;12-13;86.64
28-01-2019;13-14;47.04
28-01-2019;14-15;76.81
28-01-2019;15-16;75.1
28-01-2019;16-17;80.39
28-01-2019;17-18;217.71
28-01-2019;18-19;200.22
28-01-2019;19-20;198.51
28-01-2019;20-21;214.36
28-01-2019;21-22;212.72
28-01-2019;22-23;208.11
28-01-2019;23-00;205.28
29-01-2019;00-01;175.73
29-01-2019;01-02;172.9
29-01-2019;02-03;0.82
29-01-2019;03-04;-32.53
29-01-2019;04-05;-74.51
29-01-2019;05-06;-6.7
29-01-2019;06-07;92.52
29-01-2019;07-08;225.75
29-01-2019;08-09;226.94
29-01-2019;09-10;223.07
29-01-2019;10-11;221.58
29-01-2019;11-12;221.21
29-01-2019;12-13;219.72
29-01-2019;13-14;219.94
29-01-2019;14-15;220.46
29-01-2019;15-16;227.16
29-01-2019;16-17;226.87
29-01-2019;17-18;238.03
29-01-2019;18-19;248.9
29-01-2019;19-20;222.77
